"","iso2c","País","Año","PBIperCapita","Inflación"
"1","BR","Brasil",1980,6.65253708195542,NA
"2","BR","Brasil",1981,-6.47874834061049,101.725072957927
"3","BR","Brasil",1982,-1.50386286222877,100.54335919485
"4","BR","Brasil",1983,-5.14249113412122,135.027682230472
"5","BR","Brasil",1984,3.06343305338734,192.121733132051
"6","BR","Brasil",1985,5.54547922272781,225.989665211895
"7","BR","Brasil",1986,5.28365371395449,147.142826237605
"8","BR","Brasil",1987,1.48522240530053,228.336162575513
"9","BR","Brasil",1988,-1.96371437601724,629.114509120897
"10","BR","Brasil",1989,1.25596285558044,1430.7237251472
"11","BR","Brasil",1990,-6.06711785432853,2947.73277248299
"12","BR","Brasil",1991,-0.729838954979584,432.786661926461
"13","BR","Brasil",1992,-2.22770853706096,951.962053052818
"14","BR","Brasil",1993,3.19229935874152,1927.38079016026
"15","BR","Brasil",1994,4.13750878454231,2075.88839757325
"16","BR","Brasil",1995,2.55952338703105,66.0070335542481
"17","BR","Brasil",1996,0.597763255895359,15.7576656002606
"18","BR","Brasil",1997,1.79060343608302,6.92671251629151
"19","BR","Brasil",1998,-1.18436477142068,3.19507629280056
"20","BR","Brasil",1999,-1.00913730251385,4.85844749902668
"21","BR","Brasil",2000,2.91182643514742,7.04414105947266
"22","BR","Brasil",2001,0.0133708606751668,6.84035902487525
"23","BR","Brasil",2002,1.70947096619183,8.4501643770833
"24","BR","Brasil",2003,-0.122933723843431,14.7149197228147
"25","BR","Brasil",2004,4.49707706267368,6.59718509985962
"26","BR","Brasil",2005,2.02630422889041,6.86953720898965
"27","BR","Brasil",2006,2.83475848402813,4.18356812896902
"28","BR","Brasil",2007,4.97470189602738,3.64127299102654
"29","BR","Brasil",2008,4.05441066380965,5.67859390284171
"30","BR","Brasil",2009,-1.08194236869856,4.88803479876804
"31","BR","Brasil",2010,6.52437005565609,5.03872690108066
"32","BR","Brasil",2011,3.02640196933812,6.63644962213085
"33","BR","Brasil",2012,1.01454082117884,5.40349914037009
"34","BR","Brasil",2013,2.10888584808248,6.204310666401
"35","BR","Brasil",2014,-0.352483145005351,6.32904015516142
"36","BR","Brasil",2015,-4.35147506604415,9.02990102416129
"37","BR","Brasil",2016,-4.06941092381417,8.73914352329393
"38","BR","Brasil",2017,0.508337980314494,3.44637335032672
"39","BR","Brasil",2018,0.988960032623851,3.66485028376724
"40","BR","Brasil",2019,0.462903686580418,3.73297621216894
"41","BR","Brasil",2020,-4.56146250717985,3.21176803803379
"42","BR","Brasil",2021,3.91833658866921,8.30165975585676
"43","CL","Chile",1980,6.431288494211,35.1383405330485
"44","CL","Chile",1981,5.02921667323415,19.6868327084319
"45","CL","Chile",1982,-12.2409669125358,9.94102693041837
"46","CL","Chile",1983,-6.32591658813915,27.2571946726204
"47","CL","Chile",1984,2.63685329509293,19.8602056602626
"48","CL","Chile",1985,2.49013825567354,30.7034989096151
"49","CL","Chile",1986,3.78087627310926,19.4768379232582
"50","CL","Chile",1987,4.80091045474444,19.8808457201905
"51","CL","Chile",1988,5.63400875018785,14.6843512500821
"52","CL","Chile",1989,8.14688238570098,17.0279367308961
"53","CL","Chile",1990,1.65325484026697,26.0364811362365
"54","CL","Chile",1991,6.04186561733009,21.7844124277757
"55","CL","Chile",1992,9.34715521586473,15.4258064688927
"56","CL","Chile",1993,4.86809869033098,12.7277669490964
"57","CL","Chile",1994,3.3886352064974,11.4431196444973
"58","CL","Chile",1995,7.30834810795879,8.23263034116112
"59","CL","Chile",1996,5.29098351800481,7.35911781788773
"60","CL","Chile",1997,5.9474275267751,6.13386464357923
"61","CL","Chile",1998,2.84880430047538,5.11024954517563
"62","CL","Chile",1999,-1.49081154883297,3.33687917526016
"63","CL","Chile",2000,3.74315585776448,3.8432729570657
"64","CL","Chile",2001,1.9988324217711,3.56910053001465
"65","CL","Chile",2002,2.09538540557968,2.48939816650703
"66","CL","Chile",2003,3.63148291127342,2.81017875743615
"67","CL","Chile",2004,5.57305288471437,1.05473871403516
"68","CL","Chile",2005,4.73999778376771,3.05257621387848
"69","CL","Chile",2006,4.93600113925538,3.39201733699404
"70","CL","Chile",2007,4.05043289107307,4.40779938398046
"71","CL","Chile",2008,2.68334573281044,8.7162687303961
"72","CL","Chile",2009,-2.1599522571676,0.353045178360941
"73","CL","Chile",2010,4.75763858628835,1.41071107954318
"74","CL","Chile",2011,5.16956495157493,3.34121694259299
"75","CL","Chile",2012,5.13788648029205,3.00744840213049
"76","CL","Chile",2013,2.30225114129429,1.78955553984587
"77","CL","Chile",2014,0.718158802220941,4.71867527854671
"78","CL","Chile",2015,0.955937438377944,4.3487735321705
"79","CL","Chile",2016,0.413495941080043,3.78619355893115
"80","CL","Chile",2017,-0.0765508332611091,2.18271846868523
"81","CL","Chile",2018,2.55347622625683,2.43488981353058
"82","CL","Chile",2019,-0.414485105350607,2.55754475703323
"83","CL","Chile",2020,-6.78570273300585,3.04549084804331
"84","CL","Chile",2021,11.1093535534656,4.52456838259136
"85","CO","Colombia",1980,1.81406689101257,26.5806451612903
"86","CO","Colombia",1981,0.0596085704509761,27.5229357798165
"87","CO","Colombia",1982,-1.22565871210654,24.7002398081535
"88","CO","Colombia",1983,-0.592211327207508,19.4871794871795
"89","CO","Colombia",1984,1.17647456545322,16.362660944206
"90","CO","Colombia",1985,0.972877624223273,23.9741816505302
"91","CO","Colombia",1986,3.6735501319273,18.8545927854221
"92","CO","Colombia",1987,3.26483102802165,23.3103879849812
"93","CO","Colombia",1988,2.01343466956649,28.1400659731033
