"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"2838","1858310113160101723",18583,10,11,3,160101,7,2,3,4,10,1,3,30,2500,2,2,2,2,2,2
"2839","1858324443160101723",18583,24,44,3,160101,7,2,3,4,6,1,3,36,125,2,2,2,2,2,2
"2840","1858352112160101722",18583,52,11,2,160101,7,2,2,4,8,1,3,54,3500,2,2,2,2,2,2
"2841","1858352115160101725",18583,52,11,5,160101,7,2,5,4,10,2,3,0,2600,2,2,2,2,2,2
"2842","1858611112160113722",18586,11,11,2,160113,7,2,2,4,5,2,6,33,400,2,2,2,2,2,2
"2843","1858643112160113722",18586,43,11,2,160113,7,2,2,4,6,1,4,60,100,2,2,2,2,2,2
"2844","1858688111160113721",18586,88,11,1,160113,7,2,1,4,10,1,3,40,5000,2,2,2,2,2,2
"2845","1858688112160113722",18586,88,11,2,160113,7,2,2,4,10,2,3,16,1800,2,2,2,2,2,2
"2846","18586104111160113721",18586,104,11,1,160113,7,2,1,4,10,2,3,40,900,2,2,2,2,2,2
"2847","18586104112160113722",18586,104,11,2,160113,7,2,2,4,8,1,3,0,3100,2,2,2,2,2,2
"2848","18586119111160113721",18586,119,11,1,160113,7,2,1,4,5,2,3,16,360,2,2,2,2,2,2
"2849","1863411112160101722",18634,11,11,2,160101,7,2,2,4,11,2,3,0,2700,2,2,2,2,2,2
"2850","1863411113160101723",18634,11,11,3,160101,7,2,3,4,10,2,3,36,2500,2,2,2,2,2,2
"2851","1863458124160101724",18634,58,12,4,160101,7,2,4,4,8,2,3,48,1500,2,2,2,2,2,2
"2852","1863489112160101724",18634,89,11,2,160101,7,2,4,4,10,2,3,56,4000,2,2,2,2,2,2
"2853","18634152111160101721",18634,152,11,1,160101,7,2,1,4,6,1,3,0,2500,2,2,2,2,2,2
"2854","1865949113160305753",18659,49,11,3,160305,7,5,3,4,3,1,4,7,250,2,2,2,2,2,2
"2855","1865990113160305753",18659,90,11,3,160305,7,5,3,4,4,1,4,46,60,2,2,2,2,2,2
"2856","18659103113160305752",18659,103,11,3,160305,7,5,2,4,6,1,3,72,96,2,2,2,2,2,2
"2857","18659117111160305752",18659,117,11,1,160305,7,5,2,4,6,1,3,84,1500,2,2,2,2,2,2
"2858","1866512111160201731",18665,12,11,1,160201,7,3,1,4,6,1,4,5,120,2,2,2,2,2,2
"2859","1866512113160201733",18665,12,11,3,160201,7,3,3,4,6,2,4,18,75,2,2,2,2,2,2
"2860","1867322111160301741",18673,22,11,1,160301,7,4,1,4,8,1,3,42,1500,2,2,2,2,2,2
"2861","1867340111160301741",18673,40,11,1,160301,7,4,1,4,5,1,4,48,500,2,2,2,2,2,2
"2862","1867340112160301742",18673,40,11,2,160301,7,4,2,4,6,2,3,5,460,2,2,2,2,2,2
"2863","1867357113160301741",18673,57,11,3,160301,7,4,1,4,5,1,3,48,90,2,2,2,2,2,2
"2864","1871022112160201732",18710,22,11,2,160201,7,3,2,4,5,1,3,48,120,2,2,2,2,2,2
"2865","1871057111160201731",18710,57,11,1,160201,7,3,1,4,7,1,4,54,300,2,2,2,2,2,2
"2866","1871057112160201732",18710,57,11,2,160201,7,3,2,4,6,2,3,48,930,2,2,2,2,2,2
"2867","1871057113160201733",18710,57,11,3,160201,7,3,3,4,5,2,6,54,200,2,2,2,2,2,2
"2868","1871092111160201731",18710,92,11,1,160201,7,3,1,4,4,1,4,54,350,2,2,2,2,2,2
"2869","18710110112160201731",18710,110,11,2,160201,7,3,1,4,3,1,4,60,360,2,2,2,2,2,2
"2870","18710146111160201731",18710,146,11,1,160201,7,3,1,4,6,1,4,48,180,2,2,2,2,2,2
"2871","1872310113160404783",18723,10,11,3,160404,7,8,3,4,4,1,4,48,100,2,2,2,2,2,2
"2872","1872312113160404782",18723,12,11,3,160404,7,8,2,4,4,1,4,48,150,2,2,2,2,2,2
"2873","1872661112160210771",18726,61,11,2,160210,7,7,1,4,5,2,6,70,300,2,2,2,2,2,2
"2874","187806119160703789",18780,6,11,9,160703,7,8,9,4,5,2,6,60,400,2,2,2,2,2,2
"2875","1879558113170101733",18795,58,11,3,170101,7,3,3,4,5,2,3,48,950,2,2,2,2,2,2
"2876","1879573113170101733",18795,73,11,3,170101,7,3,3,4,10,1,3,25,4000,2,2,2,2,2,2
