MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300A,P301A,P207
5.10275E+16,5102,75,11,3,10701,7,7,3,4,8,1
5.10275E+16,5102,75,11,4,10701,7,7,4,4,6,1
5.10275E+16,5102,75,11,5,10701,7,7,5,4,5,1
5.10277E+16,5102,77,11,1,10701,7,7,2,4,1,1
5.10277E+16,5102,77,11,2,10701,7,7,2,4,1,2
5.10218E+17,5102,176,11,1,10701,7,7,1,4,3,2
5.10218E+17,5102,176,11,2,10701,7,7,1,4,3,2
5.10218E+17,5102,177,11,1,10701,7,7,1,4,6,1
5.10218E+17,5102,177,11,2,10701,7,7,2,4,4,2
5.10218E+17,5102,177,11,3,10701,7,7,1,4,3,2
5.10218E+17,5102,177,11,4,10701,7,7,1,4,2,1
5.10218E+17,5102,180,11,1,10701,7,7,2,4,3,1
5.10218E+17,5102,180,11,2,10701,7,7,2,4,3,2
5.10218E+17,5102,180,11,3,10701,7,7,3,4,6,1
5.10219E+17,5102,191,11,1,10701,7,7,1,4,2,1
5.10219E+17,5102,191,11,2,10701,7,7,2,4,1,2
5.10219E+17,5102,191,11,3,10701,7,7,3,4,9,1
5.10219E+17,5102,191,11,4,10701,7,7,4,4,6,2
5.13825E+16,5138,25,11,1,10513,4,7,1,4,1,1
5.13825E+16,5138,25,11,2,10513,4,7,2,4,4,2
5.13825E+16,5138,25,11,3,10513,4,7,3,4,5,1
5.13828E+16,5138,28,11,1,10513,4,7,1,4,4,1
5.13828E+16,5138,28,11,2,10513,4,7,2,4,3,2
5.13828E+16,5138,28,11,3,10513,4,7,3,4,6,2
5.13828E+16,5138,28,11,4,10513,4,7,1,4,5,1
5.13828E+16,5138,28,11,5,10513,4,7,5,4,5,1
5.13828E+16,5138,28,11,6,10513,4,7,6,4,6,2
5.13828E+16,5138,28,11,7,10513,4,7,6,4,2,2
5.13811E+17,5138,111,11,1,10513,4,7,1,4,10,1
5.13811E+17,5138,111,11,2,10513,4,7,2,4,3,2
5.13811E+17,5138,111,11,3,10513,4,7,2,4,8,2
5.13811E+17,5138,111,11,4,10513,4,7,4,4,4,2
